,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
246961_at,0.069563661,2.590441592,0.734614454,0.477265739,0.96904122,-4.737552068,FALSE
263034_at,-0.407053504,5.746674984,-0.734612952,0.477266619,0.96904122,-4.737552514,FALSE
261787_at,0.091579544,5.100471061,0.734567444,0.477293298,0.96904122,-4.737566023,FALSE
262676_at,-0.059315429,11.28300682,-0.734395179,0.477394292,0.96904122,-4.73761715,FALSE
258445_at,0.164298752,3.77154624,0.73437169,0.477408064,0.96904122,-4.737624121,FALSE
259914_at,-0.120250282,2.938025208,-0.734324109,0.477435963,0.96904122,-4.737638241,FALSE
260684_at,0.24142012,3.77615308,0.734267023,0.477469436,0.96904122,-4.73765518,FALSE
264548_at,0.097251135,7.912961157,0.734144884,0.477541058,0.96904122,-4.737691419,FALSE
259784_at,-0.154069876,5.189171321,-0.734092408,0.477571832,0.96904122,-4.737706987,FALSE
257780_at,-0.096593328,7.481185922,-0.734032747,0.477606821,0.96904122,-4.737724686,FALSE
252378_at,0.109620454,4.890244504,0.734028822,0.477609123,0.96904122,-4.73772585,FALSE
267104_at,-0.055771796,12.14551578,-0.733959574,0.477649736,0.96904122,-4.737746391,FALSE
260873_at,-0.073371668,3.187312684,-0.733928226,0.477668122,0.96904122,-4.737755689,FALSE
266147_at,0.062459574,2.285471481,0.733921007,0.477672357,0.96904122,-4.737757831,FALSE
246997_at,-0.112575593,5.834182645,-0.733688739,0.4778086,0.96904122,-4.737826713,FALSE
265908_at,0.081744609,5.205492183,0.73368186,0.477812636,0.96904122,-4.737828752,FALSE
252429_at,0.120714298,6.354455511,0.733666996,0.477821355,0.96904122,-4.73783316,FALSE
254468_at,0.159955616,4.244535313,0.733627718,0.477844398,0.96904122,-4.737844806,FALSE
246504_at,0.079502362,2.946107179,0.733441644,0.477953567,0.96904122,-4.737899971,FALSE
251912_at,-0.081881809,3.026270104,-0.733330147,0.47801899,0.96904122,-4.737933021,FALSE
257824_at,-0.110397138,7.392282731,-0.733087312,0.478161496,0.96904122,-4.738004987,FALSE
260321_at,0.077616851,7.026560723,0.733023624,0.478198875,0.96904122,-4.738023858,FALSE
245701_at,0.178946836,3.619900317,0.7329732,0.478228471,0.96904122,-4.738038798,FALSE
253149_at,-0.085408437,2.895960255,-0.732934751,0.47825104,0.96904122,-4.738050189,FALSE
257971_at,-0.083546049,6.105806606,-0.732861789,0.478293867,0.96904122,-4.738071804,FALSE
263183_at,0.111161039,8.161010687,0.732781589,0.478340946,0.96904122,-4.738095561,FALSE
254675_at,0.108283718,5.679046515,0.732617697,0.478437162,0.96904122,-4.738144103,FALSE
253399_at,-0.097222674,8.687848712,-0.732508763,0.478501121,0.96904122,-4.738176362,FALSE
250552_at,-0.0947884,7.388026764,-0.732478221,0.478519054,0.96904122,-4.738185405,FALSE
246555_at,0.124782153,4.402268758,0.732126895,0.478725371,0.96904122,-4.738289413,FALSE
251704_at,0.080261496,8.539462739,0.732038183,0.478777475,0.96904122,-4.738315669,FALSE
266274_at,0.108585233,3.346692311,0.731893051,0.478862726,0.96904122,-4.738358617,FALSE
248772_at,0.12304505,3.710782913,0.731749499,0.478947057,0.96904122,-4.738401091,FALSE
245343_at,0.117870864,4.564665537,0.731748788,0.478947475,0.96904122,-4.738401301,FALSE
260571_at,-0.082251041,9.634115812,-0.731529693,0.479076204,0.96904122,-4.738466113,FALSE
246021_at,-0.10487579,3.420304603,-0.731512423,0.479086352,0.96904122,-4.738471221,FALSE
253862_at,-0.086480595,3.013335209,-0.73151185,0.479086688,0.96904122,-4.73847139,FALSE
255646_at,-0.104336804,2.611059995,-0.731480575,0.479105066,0.96904122,-4.73848064,FALSE
266646_at,0.065267661,10.44419258,0.731377974,0.479165358,0.96904122,-4.738510983,FALSE
